created_at	full_text	screen_name	edited_text
Sun May 19 14:00:00 +0000 2019	El tabaco inicia el camino para poner en jaque al contrabando https://t.co/NdQmLgZbja	abc_es	tabaco inicia camino poner jaque contrabando
Sun May 19 13:59:22 +0000 2019	RT @abc_deportes: Los Márquez conquistan Le Mans https://t.co/Bj4SYk4IoW	abc_es	abc_deportes Márquez conquistan Mans
Sun May 19 13:55:01 +0000 2019	Keylor se despide de rodillas ante el calor del público https://t.co/RMpR2xWsL5	abc_es	Keylor despide rodillas calor público
Sun May 19 13:50:00 +0000 2019	La polémica persigue la boda de Antonella y Messi dos años después https://t.co/5T4Bi3zMIQ	abc_es	polémica persigue boda Antonella Messi dos años después
Sun May 19 13:45:00 +0000 2019	▶ LaLiga (J38): resumen y goles del Real Madrid 0-2 Betis https://t.co/ghhNkdG8Ra #LosgolesdeLaLigaenABC	abc_es	▶ LaLiga J38 resumen goles Real Madrid 0-2 Betis LosgolesdeLaLigaenABC
Sun May 19 13:40:00 +0000 2019	La decepción de Alonso tras caer a la respesca https://t.co/TymKK52YoS	abc_es	decepción Alonso caer respesca
Sun May 19 13:35:01 +0000 2019	«The New York Times» denuncia órdenes de matar del ejército colombiano que arriesgarían vidas civiles https://t.co/nFLoPQdTeM	abc_es	« New York Times » denuncia órdenes matar ejército colombiano arriesgarían vidas civiles
Sun May 19 13:34:17 +0000 2019	🔴 #AMPLIACIÓN El último ridículo https://t.co/BGTeuGdizA	abc_es	🔴 AMPLIACIÓN último ridículo
Sun May 19 13:30:00 +0000 2019	La humanidad, ante una grave crisis de innovación de antibióticos https://t.co/ex5VY2Goy5	abc_es	humanidad grave crisis innovación antibióticos
Sun May 19 13:27:16 +0000 2019	🔴 #ÚLTIMAHORA Al menos 12 heridos tras una explosión contra un autobús turístico en Egipto https://t.co/Jn7VoUIk27	abc_es	🔴 ÚLTIMAHORA menos 12 heridos explosión autobús turístico Egipto
Sun May 19 13:20:00 +0000 2019	Huevos a Marta  https://t.co/4eAzoyHQjs El @abc_astrolabio por @bieitorubido	abc_es	Huevos Marta abc_astrolabio bieitorubido
Sun May 19 13:10:00 +0000 2019	▶#VÍDEO En el 2016, el PSOE se posicionaba con el «no es no» en contra de Rajoy. Tres años después, Ábalos, pide a Ciudadanos su abstención «por España». Los cambios de ruta del PSOE, en vídeo  https://t.co/3PuPaZvVIz	abc_es	▶ VÍDEO 2016 PSOE posicionaba « » Rajoy Tres años después Ábalos pide Ciudadanos abstención « España » cambios ruta PSOE vídeo
Sun May 19 13:00:00 +0000 2019	El comunicado del fin de ETA permitió ubicar a Ternera en Francia hace un año https://t.co/Zxl5nzos8B	abc_es	comunicado fin ETA permitió ubicar Ternera Francia hace año
Sun May 19 12:50:00 +0000 2019	Tyrion Lannister, el doloroso declive de un conspirador nato https://t.co/OHyiP0nq9j Por @luciacab #GamefThrones	abc_es	Tyrion Lannister doloroso declive conspirador nato luciacab GamefThrones
Sun May 19 12:40:00 +0000 2019	Cómo cambiará el reparto urbano de «último kilómetro» en los próximos dos años https://t.co/Rmp9M1b3RH	abc_es	Cómo cambiará reparto urbano « último kilómetro » próximos dos años
Sun May 19 12:35:01 +0000 2019	Los vecinos atrapan a un encapuchado que asaltó y amordazó a dos ancianos en su casa https://t.co/Y6K57D7lAD	abc_es	vecinos atrapan encapuchado asaltó amordazó dos ancianos casa
Sun May 19 12:30:00 +0000 2019	🍽 Dónde comer buenas croquetas en España https://t.co/l0RdYfLuCX	abc_es	🍽 Dónde comer buenas croquetas España
Sun May 19 12:25:00 +0000 2019	▶ Agreden a Arnold Schwarzenegger con una patada por la espalda durante un acto en Sudáfrica https://t.co/oRdgiOqSGQ	abc_es	▶ Agreden Arnold Schwarzenegger patada espalda acto Sudáfrica
Sun May 19 12:20:00 +0000 2019	El «Gran Hermano» chino lo ve todo con cámaras que reconocen caras en segundos https://t.co/D37dCvVir5 Por @PabloDiez_ABC	abc_es	« Gran Hermano » chino cámaras reconocen caras segundos PabloDiez_ABC
Sun May 19 12:16:29 +0000 2019	Miki, tras su actuación en Eurovisión: «Ya sabemos lo que pasa siempre con España» https://t.co/ZRjwsyEBHd Por @mnievesmn #LaVenda #Eurovisión #EurovisiónRTVE	abc_es	Miki actuación Eurovisión « sabemos pasa siempre España » mnievesmn LaVenda Eurovisión EurovisiónRTVE
Sun May 19 12:15:00 +0000 2019	Casado lamenta que Sánchez «ya tenga el pacto hecho» con Podemos y Esquerra https://t.co/hBkNV7shC7	abc_es	Casado lamenta Sánchez « pacto hecho » Podemos Esquerra
