created_at	full_text	screen_name	edited_text
Mon May 20 13:59:52 +0000 2019	Rastros de una colisión frontal masiva en el pasado de la Vía Láctea https://t.co/AmKpV9B6fF	cienciaplus	Rastros colisión frontal masiva pasado Láctea
Mon May 20 13:13:39 +0000 2019	Primera imagen de la misión Mars 2020 integrada https://t.co/It8w68EvXM	cienciaplus	Primera imagen misión Mars 2020 integrada
Mon May 20 12:55:27 +0000 2019	La definición oficial del #kilo ha cambiado este 20 de mayo https://t.co/bCuMOlYR6w	cienciaplus	definición oficial kilo cambiado 20 mayo
Mon May 20 10:52:49 +0000 2019	Neutrinos, fuente potencial de tecnofirmas de civilizaciones estelares https://t.co/KUu33RKeSE	cienciaplus	Neutrinos fuente potencial tecnofirmas civilizaciones estelares
Mon May 20 10:17:07 +0000 2019	Planetas análogos a la Tierra pueden sobrevivir a la muerte de su sol https://t.co/VlOcRvu2IU	cienciaplus	Planetas análogos Tierra pueden sobrevivir muerte sol
Mon May 20 09:19:58 +0000 2019	Un termostato personal capaz de climatizar la piel https://t.co/6envE5e2ky	cienciaplus	termostato personal capaz climatizar piel
Mon May 20 08:59:17 +0000 2019	#VÍDEO Un robot que vuela, conduce y se estruja usando los mismos motores https://t.co/y6zsgwyx1G	cienciaplus	VÍDEO robot vuela conduce estruja usando mismos motores
Mon May 20 08:34:49 +0000 2019	Observación directa de la mecánica #cuántica a nivel atómico https://t.co/6xy3iFbcRh	cienciaplus	Observación directa mecánica cuántica nivel atómico
Sun May 19 18:40:51 +0000 2019	#Samoa Americana se hunde en el mar aceleradamente por un terremoto https://t.co/8YoCa6OU4V	cienciaplus	Samoa Americana hunde mar aceleradamente terremoto
Sun May 19 18:37:08 +0000 2019	Un impactador oscuro causa estragos en el confín de la galaxia https://t.co/e930OH3PVm	cienciaplus	impactador oscuro causa estragos confín galaxia
Sun May 19 18:34:03 +0000 2019	El enigma de las tinajas megalíticas de Laos se extiende https://t.co/zjDHEeqCZE	cienciaplus	enigma tinajas megalíticas Laos extiende
Sun May 19 17:40:55 +0000 2019	Una cuarta parte de la Antártida es ahora inestable https://t.co/aXPFYgpJko	cienciaplus	cuarta parte Antártida ahora inestable
Sun May 19 17:38:16 +0000 2019	Explicación al misterioso origen del vidrio del desierto de Libia https://t.co/ZxqvIScU6z https://t.co/KKncovPh37	cienciaplus	Explicación misterioso origen vidrio desierto Libia
Sun May 19 17:34:42 +0000 2019	Nuevo material clave para revolucionarios motores de hidrógeno https://t.co/Y8Bv2ghqwH	cienciaplus	Nuevo material clave revolucionarios motores hidrógeno
Sun May 19 17:31:54 +0000 2019	Ya se sabe en qué lengua está escrito el famoso manuscrito #Voynich https://t.co/3NmZui8uur	cienciaplus	sabe lengua escrito famoso manuscrito Voynich
Sat May 18 19:14:17 +0000 2019	Fórmulas matemáticas para interpretar las ondas gravitacionales https://t.co/EkdVxh2lYp	cienciaplus	Fórmulas matemáticas interpretar ondas gravitacionales
Sat May 18 19:08:48 +0000 2019	El trono de Archaeopteryx se tambalea https://t.co/ntHVhDRGWC	cienciaplus	trono Archaeopteryx tambalea
Sat May 18 19:05:29 +0000 2019	Primer satélite elevado a órbita con vela solar se lanza el 22 de junio https://t.co/G6euOsVZOk	cienciaplus	Primer satélite elevado órbita vela solar lanza 22 junio
Sat May 18 19:00:40 +0000 2019	Primera amonita atrapada en ámbar de 99 millones de años https://t.co/YIvu3Rwzk0	cienciaplus	Primera amonita atrapada ámbar 99 millones años
Sat May 18 18:57:05 +0000 2019	La Luna tiembla mientras se encoge https://t.co/6Y3CdWRBUw	cienciaplus	Luna tiembla mientras encoge
Sat May 18 18:54:33 +0000 2019	Extraños escombros atómicos de #Hiroshima aparecen mezclados en arena de playa https://t.co/jafWeL14gD	cienciaplus	Extraños escombros atómicos Hiroshima aparecen mezclados arena playa
Sat May 18 18:49:16 +0000 2019	Se consigue generar electricidad del frío del universo https://t.co/FGHI6m8sSG	cienciaplus	consigue generar electricidad frío universo
Fri May 17 15:53:14 +0000 2019	Pruebas de que los humanos cocinaban almidones hace ya 120.000 años https://t.co/dm7kOIXJxd	cienciaplus	Pruebas humanos cocinaban almidones hace 120.000 años
Fri May 17 15:33:56 +0000 2019	Compilan microfósiles de corteza océanica para buscar análogos en #Marte https://t.co/khHKKSUEOc	cienciaplus	Compilan microfósiles corteza océanica buscar análogos Marte
Fri May 17 15:07:04 +0000 2019	#Samoa Americana se hunde aceleradamente en el mar por un #terremoto https://t.co/Er57wFHGr1	cienciaplus	Samoa Americana hunde aceleradamente mar terremoto
Fri May 17 12:09:26 +0000 2019	Un #dinosaurio de 24 toneladas andaba como si llevara tacones https://t.co/23h0YTjWMW	cienciaplus	dinosaurio 24 toneladas andaba llevara tacones
Fri May 17 11:14:54 +0000 2019	El cráter Lovell, una diana en #Marte https://t.co/b40lttPTzL	cienciaplus	cráter Lovell diana Marte
Fri May 17 10:42:34 +0000 2019	Reducción sin precedentes en las lluvias monzónicas desde hace 80 años https://t.co/jVQVQ1dJd0	cienciaplus	Reducción precedentes lluvias monzónicas hace 80 años
Fri May 17 10:21:50 +0000 2019	Un impactador oscuro causa estragos en un confín de nuestra galaxia https://t.co/HJYZxxbpdH	cienciaplus	impactador oscuro causa estragos confín galaxia
Fri May 17 09:36:47 +0000 2019	Proponen un espacio demográfico seguro para salvar el elefante asiático https://t.co/FGrSNCthAr	cienciaplus	Proponen espacio demográfico seguro salvar elefante asiático
Fri May 17 09:13:25 +0000 2019	El enigma de las tinajas megalíticas de #Laos se extiende https://t.co/nljbXUiXer	cienciaplus	enigma tinajas megalíticas Laos extiende
Fri May 17 08:41:40 +0000 2019	El primer perfil de #ÚltimaThule llega a la portada de 'Science' https://t.co/io3VZVcnXc	cienciaplus	primer perfil ÚltimaThule llega portada 'Science
Thu May 16 17:04:30 +0000 2019	Una cuarta parte de la #Antártida es ahora inestable https://t.co/t38asE3Hzx	cienciaplus	cuarta parte Antártida ahora inestable
Thu May 16 16:49:14 +0000 2019	El rover chino Yutu-2 desentraña la composición del manto lunar https://t.co/EptHTQZhFD https://t.co/Su5hxpbSlN	cienciaplus	rover chino Yutu-2 desentraña composición manto lunar
Thu May 16 16:43:51 +0000 2019	La misión de regreso a la Luna de la NASA ya tiene nombre: Artemisa https://t.co/PHCMIPHG9u https://t.co/nus3yf4jhn	cienciaplus	misión regreso Luna NASA nombre Artemisa
Thu May 16 16:20:24 +0000 2019	La fotosíntesis se hace más intensa en respuesta al aumento de #CO2 https://t.co/TYuIChKNxq	cienciaplus	fotosíntesis hace intensa respuesta aumento CO2
Thu May 16 16:00:30 +0000 2019	Cientos de toneladas de plástico en remotas playas de islas del Índico https://t.co/3eN7w0Jzn3	cienciaplus	Cientos toneladas plástico remotas playas islas Índico
Thu May 16 15:34:26 +0000 2019	Las chinches convivieron con los dinosaurios https://t.co/RDzO1sC26f https://t.co/QaTgukMAQ2	cienciaplus	chinches convivieron dinosaurios
